method,iteration,teacher_teacher,student_teacher_1,student_teacher_2,student_teacher_mean,student_ema,buffers_unchanged
AD-MT,50,0.8364839489385486,0.9133858621120453,0.9113335539028049,0.912359708007425,,True
AD-MT,150,0.9583653181791305,0.7652407673001289,0.7917347294092179,0.7784877483546734,,True
AD-MT,250,0.9767963874340058,0.7940702766180039,0.8101161834597588,0.8020932300388813,,True
AD-MT,350,0.971944484114647,0.8317207568883895,0.8643399959802628,0.8480303764343262,,True
AD-MT,450,0.9860497879981994,0.8612823206186294,0.8658279126882553,0.8635551166534424,,True
AD-MT,550,0.9913356804847717,0.8950193417072296,0.8949838128685951,0.8950015772879124,,True
AD-MT,650,0.991278510093689,0.934308779835701,0.9476258039474488,0.9409672918915749,,True
AD-MT,750,0.9926577240228653,0.9483841037750245,0.9568201106786728,0.9526021072268486,,True
AD-MT,850,0.9924404811859131,0.9518110918998718,0.9627990281581879,0.9573050600290298,,True
AD-MT,950,0.9930410438776016,0.9691101974248886,0.9740250128507614,0.971567605137825,,True
AD-MT,1050,0.9952105152606964,0.967841728925705,0.9710770589113236,0.9694593939185142,,True
AD-MT,1150,0.9952876371145248,0.9728879165649414,0.9723861628770828,0.9726370397210121,,True
AD-MT,1250,0.9972736871242524,0.9822212636470795,0.9834259486198426,0.982823606133461,,True
AD-MT,1350,0.9951865065097809,0.9839755380153656,0.984782863855362,0.9843792009353638,,True
AD-MT,1450,0.9965652173757553,0.9816235941648483,0.9841560912132263,0.9828898426890373,,True
AD-MT,1550,0.9975435519218445,0.985094758272171,0.9838797098398209,0.9844872340559959,,True
AD-MT,1650,0.996210339665413,0.9853338080644608,0.9843931025266648,0.9848634552955627,,True
AD-MT,1750,0.9984066092967987,0.9838015615940094,0.981421549320221,0.9826115554571152,,True
AD-MT,1850,0.9976011681556701,0.9862531638145446,0.987535103559494,0.9868941336870194,,True
AD-MT,1950,0.9984889560937882,0.9870810407400131,0.986585259437561,0.986833150088787,,True
AD-MT,2050,0.9984492594003678,0.9742835253477097,0.9756805729866028,0.9749820491671563,,True
AD-MT,2150,0.9971579718589783,0.983788496851921,0.9807180476188659,0.9822532722353935,,True
AD-MT,2250,0.9974871557950974,0.983994026184082,0.9827531033754349,0.9833735647797585,,True
AD-MT,2350,0.9978750944137573,0.9809134656190872,0.9812527865171432,0.9810831260681152,,True
AD-MT,2450,0.9969262313842774,0.9879932379722596,0.986383935213089,0.9871885865926743,,True
AD-MT,2550,0.9983259975910187,0.9880270063877106,0.9881890910863876,0.988108048737049,,True
AD-MT,2650,0.9983986860513687,0.9783326208591461,0.9793536055088043,0.9788431131839752,,True
AD-MT,2750,0.9986552542448044,0.9699040347337723,0.9707238966226578,0.970313965678215,,True
AD-MT,2850,0.9982187366485595,0.9627697944641114,0.9643534088134765,0.9635616016387939,,True
AD-MT,2950,0.9984766125679017,0.9557966989278793,0.9552981805801392,0.9555474397540092,,True
AD-MT,3050,0.9983296376466751,0.9840486890077591,0.9839455384016037,0.9839971137046813,,True
AD-MT,3150,0.9979531741142273,0.981981852054596,0.9789541757106781,0.980468013882637,,True
