dataset,table,labeled_cases,n_runs,dice_mean,dice_std,jaccard_mean,jaccard_std,hd95_mean,hd95_std,asd_mean,asd_std
LA,Table I,4,3,89.93909987982217,0.1705295776008163,81.78118364090933,0.28290293854613086,6.25893894253359,0.22388969058412841,1.7087954668847105,0.05154624861716839
LA,Table I,8,3,91.2280930970183,0.032647454416912226,83.92861431277902,0.05262268722896845,5.742539234392499,0.09798694265709956,1.505352019683418,0.039176072370286925
Pancreas-NIH,Table II,6,3,82.32060725547184,0.16415176973636508,70.2687626426107,0.19077617471789246,5.060930204464193,0.15568495150272324,1.303298075490131,0.09797486605246834
Pancreas-NIH,Table II,12,3,83.63023920944096,0.09605327813107885,72.16683061433231,0.13892963851983817,4.579555613977282,0.03589275137249907,1.2381474251273832,0.052132790209264035
PROMISE12,Table III,4,3,83.66204790134498,0.5844090379772626,72.25590216831864,0.7990152059597924,4.823132205827516,0.6517293278839418,1.8305661690436648,0.19726758625821683
PROMISE12,Table III,7,3,84.77963650386916,0.3695689294310069,74.02397509006647,0.5561577656602095,3.9887190340715275,0.8904655052709657,1.5141276278016946,0.2166363848613607
