dataset,setting,seed,case_id,class_id,dice,jaccard,hd95,asd,zero_boundary_row,empty_penalty_row,model_type,source_record,checkpoint
LA,4_labeled,2021,ZIJLJAVQV3FJ6JSQOH1E,1,0.9185991561499199,0.8494529677630526,13.794888275825233,1.642306037115691,0,0,ema,LA/4_labeled/seed2021/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2021/vnet/vnet_best_ema_model.pth
LA,4_labeled,2021,ZQPMJ4XEC5A4BISD45P1,1,0.9014257002889084,0.8205414058256868,6.928203230275509,2.2140571047854003,0,0,ema,LA/4_labeled/seed2021/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2021/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,UPT6DX9IQY9JAZ7HJKA7,1,0.8983453235794198,0.8154509237851746,4.123105625617661,1.6951231084783571,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,UTBUJIWZMKP64E3N73YC,1,0.8974680911130593,0.8140064553951065,8.12403840463596,1.8966028085233435,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,ULHWPWKKLTE921LQLH1P,1,0.8754181017353292,0.7784387273938667,12.884098726725126,1.3407801372631183,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,V0MZOWJ6MU3RMRCV9EXR,1,0.9040739256102449,0.8249406111754944,5.0,1.4747244649858777,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,VDOF02M8ZHEAADFMS6NP,1,0.8892869115463818,0.8006450277672381,5.0990195135927845,1.804045015047017,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,VG4C826RAAKVMV9BQLVD,1,0.9005610840999849,0.8191097032096356,6.4031242374328485,1.8475331898954284,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,VIXBEFTNVHZWKAKURJBN,1,0.9174514886935826,0.8474922639599808,3.4641016151377544,1.3197331811371955,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,VQ2L3WM8KEVF6L44E6G9,1,0.8783424943449422,0.7830754841978099,4.898979485566356,1.8990264109661765,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,WBG9WYZ1B25WDT5WAT8T,1,0.9318111716854149,0.8723281380462009,4.0,1.2853891608192625,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,WMDG2EFA6L2SNDZXIRU0,1,0.9185305714279661,0.849335678994448,3.605551275463989,1.2925272458534516,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,WNPKE0W404QE9AELX1LR,1,0.8434787464702898,0.7293240343798155,9.9498743710662,2.8858988736560742,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,WSJB9P4JCXUVHBOYFVWL,1,0.8824722176849291,0.7896646791695857,6.782329983125268,1.6874621507344068,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,WW8F5CO4S4K5IM5Z7EXX,1,0.890202227314759,0.8021301260686857,8.06225774829855,1.345619788588866,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
LA,4_labeled,2022,X18LU5AOBNNDMLTA0JZL,1,0.9146907625065108,0.8427927551957266,3.3166247903554,1.236997102626429,0,0,ema,LA/4_labeled/seed2022/case_metrics_ema.csv,/home/ygq/cq/code/AD-MT-revision/code_revised/results_revised/LA/4_labeled_std_seed2022/vnet/vnet_best_ema_model.pth
